bytes_sent,mean_cwnd,mean_jitter,mean_loss,mean_s_rtt
3238973.0,333223.567686,2.255004,0.189394,91.220904
3068818.0,369193.308303,2.961624,0.122449,96.55941
3605346.0,331821.876965,2.106294,0.064309,87.751748
3622774.0,341970.705537,1.623159,0.065574,87.670683
3294837.0,338952.610408,2.261905,0.118577,92.220058
3235507.0,330509.120927,2.145617,0.192308,89.254086
3144079.0,281446.348021,2.103053,0.104167,86.173282
3087256.0,322616.853992,2.299453,0.192308,89.786552
3177499.0,291281.303211,1.731523,0.076923,84.59276
3189698.0,291563.192422,1.498494,0.076923,83.838855
3344453.0,332723.726093,1.863128,0.170648,86.988128
3299358.0,273901.884844,1.407745,0.038023,83.324981
3201760.0,292016.658806,1.622457,0.18797,83.316503
3198196.0,294919.591549,1.6727,0.155642,84.779789
3203218.0,330282.931668,2.194903,0.109489,88.261619
3759330.0,359529.18754,1.850165,0.137931,90.708251
3460001.0,367650.739336,1.939607,0.066445,91.688202
3410907.0,311595.269022,1.826545,0.03663,87.742275
3611382.0,318643.251963,1.269618,0.032051,83.879276
3706179.0,325823.630561,1.129183,0.032895,82.793842
3381653.0,374937.074606,1.948736,0.070175,92.365871
3666788.0,327929.173857,1.854605,0.036496,86.595395
3525353.0,325275.093396,1.7643,0.170068,86.639559
3497011.0,374302.803763,2.742698,0.178571,94.936022
3494130.0,387583.000692,2.20297,0.125392,94.666902
3552871.0,394785.520212,2.749831,0.10453,97.674576
2999727.0,335448.370455,2.828149,0.201613,94.68818
3341583.0,345292.164316,2.284993,0.103806,90.629149
3196834.0,341606.479502,2.824284,0.197628,92.487934
3542412.0,406645.02774,2.877509,0.168919,98.138408
3474419.0,418369.117686,3.02449,0.110294,101.136054
3291116.0,396972.412186,3.19927,0.176678,100.681752
3314475.0,359127.806156,2.166005,0.065574,92.840608
3732584.0,364381.050824,2.302503,0.035842,92.702364
2859720.0,409486.189956,3.529762,0.262172,102.832589
4042946.0,438909.282423,2.944556,0.0,101.064128
3194523.0,443181.969136,3.447552,0.11811,103.986014
3268245.0,350786.455977,2.249084,0.099668,95.551648
3320295.0,365031.708775,2.551804,0.076628,94.699923
3493648.0,381773.141216,3.110577,0.068493,97.570055
3443309.0,388209.192162,2.02521,0.099338,94.444085
3620873.0,424597.527576,3.410767,0.114504,103.205752
3292861.0,377913.586018,3.092308,0.102041,100.70979
3740679.0,383419.160772,1.998697,0.032787,94.160261
3383983.0,357427.223545,1.962391,0.034247,93.699799
3215002.0,366908.998532,2.912425,0.119522,95.696108
3159591.0,371949.389764,3.504823,0.300752,98.985531
3012751.0,372499.041667,3.904247,0.153846,104.760618
3422226.0,377264.051228,2.645878,0.110294,96.295341
3356186.0,384802.797753,3.148784,0.147601,98.281831
3942381.0,440648.462107,2.923555,0.0,98.816656
3515848.0,404907.042468,2.839274,0.034014,98.924681
3316419.0,364020.05618,2.61813,0.141844,94.596717
3743423.0,336818.719066,1.161374,0.066007,85.31173
3413043.0,351650.981532,2.172727,0.068259,91.096503
3750427.0,402740.655873,2.217617,0.032895,96.689767
3555730.0,412111.802875,2.11181,0.068966,95.796646
3022702.0,338936.728865,3.718507,0.117188,100.264386
3868196.0,357279.0,0.929154,0.0,87.411912
3588333.0,357172.870121,1.675017,0.101695,88.59499
3413371.0,417750.094612,3.291471,0.168919,101.822028
3758115.0,427527.145695,3.142375,0.103093,102.311741
3410512.0,425519.868694,3.272727,0.104167,103.889359
3707198.0,442549.28115,2.930519,0.068966,102.19026
3445727.0,451514.584247,3.212587,0.033557,102.941958
3232806.0,440524.660739,3.737682,0.074906,107.069396
3426935.0,374460.550246,3.111349,0.101695,99.331192
3503962.0,380156.561983,2.847174,0.105634,97.495464
3522160.0,393483.941337,3.258042,0.103448,98.042657
3429980.0,391957.007397,2.979452,0.140351,98.655479
3730476.0,391317.08941,2.041881,0.032258,94.225515
3137007.0,341267.844711,2.164489,0.078431,92.3897
3159183.0,383328.91401,3.869663,0.147059,101.441199
3737042.0,396721.871217,2.245568,0.065789,95.535128
3472576.0,452959.933468,3.6,0.070175,106.335836
3559980.0,463648.938,3.405277,0.104167,104.760487
2782872.0,420369.03933,4.776957,0.267176,113.920975
3798595.0,403891.112647,2.885774,0.068493,99.957253
3663385.0,404839.62031,2.325198,0.068259,97.701187
3389779.0,404792.683252,3.025733,0.140845,100.557541
3339491.0,392938.706289,3.069356,0.179211,100.692852
2859182.0,242204.635709,1.536705,0.041152,84.027732
3353001.0,273179.850211,0.786667,0.069686,79.317037
3176726.0,287240.739483,1.479568,0.074906,84.067078
3524105.0,301914.300268,1.065926,0.035088,82.158917
3529434.0,314355.093583,1.351012,0.068027,84.08723
2962835.0,265690.053488,1.357433,0.04,82.679123
3361325.0,278483.19654,0.817342,0.075188,79.561478
3207778.0,303410.2327,1.880769,0.108303,86.120769
3223676.0,320909.203472,1.491065,0.269231,88.435311
2257893.0,185736.657051,1.49026,0.101523,80.027056
2318389.0,187497.510791,0.816754,0.104167,78.659686
2596623.0,216297.392463,1.14025,0.185185,79.388088
2673623.0,221141.711765,0.882509,0.045249,79.672261
